Name,File_bert,Extroversion_bert,Neuroticism_bert,Agreeableness_bert,Conscientiousness_bert,Openness_bert,File_liwc,Extroversion_liwc,Neuroticism_liwc,Agreeableness_liwc,Conscientiousness_liwc,Openness_liwc
antonio neri,Antonio Neri - HPE.txt,0.50702707356465,0.5066016059743981,0.5548439714316534,0.6089625980750809,0.5773995667828664,Antonio Neri - HPE.txt,0.6000000000000001,0.4583333333333333,0.4833333333333334,0.525,0.6000000000000001
john doyle,John Doyle - MMC.txt,0.529525975925067,0.5027585422298491,0.5438572232669494,0.5842867009995184,0.5864406161027889,John Doyle - MMC.txt,0.5444444444444445,0.5777777777777778,0.5277777777777778,0.4333333333333333,0.6000000000000001
edward decker,Edward Decker - HD.txt,0.539327794019049,0.4864445930025501,0.5391676228931996,0.4695535522330409,0.5941228329835295,Edward Decker - HD.txt,0.6000000000000001,0.4714285714285714,0.5428571428571429,0.4285714285714286,0.5285714285714286
tricia griffith,1Tricia Griffith - PGR.txt,0.4847974140076291,0.4814386201990387,0.5547334284753718,0.6191674417525875,0.5684177084174417,1Tricia Griffith - PGR.txt,0.6000000000000001,0.52,0.555,0.48,0.5900000000000001
jon moeller,Jon Moeller - PG.txt,0.5404668780173495,0.4999755666964159,0.5471601423666601,0.4504441646035189,0.5930189631040436,Jon Moeller - PG.txt,0.5545454545454546,0.4363636363636364,0.6000000000000001,0.4454545454545455,0.5818181818181818
jacek olczak,Jacek Olczak - pm.txt,0.5209180126984438,0.5071358375234276,0.5406501774681913,0.5165758958369862,0.585044201785253,Jacek Olczak - pm.txt,0.4608695652173913,0.5130434782608696,0.4391304347826087,0.4695652173913043,0.6000000000000001
gail boudreaux,1Gail Boudreaux - ELV.txt,0.5414781020468189,0.5140535551228523,0.531424129764219,0.4385471033175739,0.5923285857769512,1Gail Boudreaux - ELV.txt,0.4875,0.4875,0.6000000000000001,0.525,0.55
matt meloy,Matt Meloy - TRGP.txt,0.4713001954270983,0.4777345910424434,0.5468110197013331,0.4992271620282214,0.5797423823117642,Matt Meloy - TRGP.txt,0.504,0.528,0.6000000000000001,0.448,0.56
james chriss,James Chriss - PYPL.txt,0.5466719617487115,0.4872804145126401,0.5489096176866972,0.6061766464362373,0.5776448839535838,James Chriss - PYPL.txt,0.5428571428571429,0.4952380952380952,0.6000000000000001,0.5238095238095238,0.580952380952381
michael mahoney,Michael Mahoney - BSX.txt,0.5321783903117449,0.4809351370941248,0.557775789659902,0.5893456499576141,0.5702421974223466,Michael Mahoney - BSX.txt,0.6000000000000001,0.5230769230769231,0.5384615384615385,0.4615384615384615,0.5846153846153846
elon musk,Elon Musk - TSLA.txt,0.5118564324828939,0.5211324170668149,0.548174082988309,0.5347401748409515,0.5699115225968271,Elon Musk - TSLA.txt,0.5,0.6000000000000001,0.4769230769230769,0.4923076923076923,0.5923076923076923
charlie scharf,Charlie Scharf - WFC.txt,0.4614425729150885,0.522436744088276,0.5428917265404752,0.4478618455566643,0.5180518929222097,Charlie Scharf - WFC.txt,0.5666666666666667,0.4666666666666667,0.4333333333333333,0.6000000000000001,0.6000000000000001
shantanu narayen,Shantanu Narayen - ADBE.txt,0.5398423221513245,0.4804126388326304,0.5517304970794885,0.6230579882281786,0.5565559130513019,Shantanu Narayen - ADBE.txt,0.5529411764705883,0.5176470588235295,0.5294117647058824,0.5058823529411764,0.6000000000000001
jeff harmening,Jeff Harmening - GIS.txt,0.5227582106376886,0.5048274407065585,0.5427354901644135,0.5026317477575015,0.5880625958773152,Jeff Harmening - GIS.txt,0.5090909090909091,0.4636363636363637,0.4727272727272728,0.4318181818181818,0.6000000000000001
preston feight,Preston Feight - PCAR.txt,0.5341967044901661,0.523866643659198,0.5325079713939471,0.4434997808809854,0.6058536173473635,Preston Feight - PCAR.txt,0.55,0.5750000000000001,0.6000000000000001,0.6000000000000001,0.525
scott kirby,Scott Kirby - UAL.txt,0.527036726474762,0.5087733268737793,0.5291789174079895,0.5083404779434204,0.5821076035499573,Scott Kirby - UAL.txt,0.5,0.6000000000000001,0.6000000000000001,0.4,0.5
wendell weeks,Wendell Weeks - GLW.txt,0.4881658690641274,0.5170171025411421,0.5396780131791651,0.452127181937263,0.5701729659476725,Wendell Weeks - GLW.txt,0.5846153846153846,0.4615384615384615,0.4461538461538462,0.4307692307692308,0.6000000000000001
nick zarcone,Nick Zarcone - LKQ.txt,0.5223402380943298,0.5353308022022247,0.5027274787425995,0.4195667078378553,0.611991358888983,Nick Zarcone - LKQ.txt,0.45,0.45,0.6000000000000001,0.475,0.45
tim cook,Tim Cook - AAPL.txt,0.5283392461187523,0.5219002708646335,0.5428620612071806,0.4797986209353256,0.5600450539813986,Tim Cook - AAPL.txt,0.6000000000000001,0.5555555555555556,0.4444444444444445,0.5333333333333333,0.5111111111111112
larry coben,Larry Coben - NRG.txt,0.5068613588809967,0.4969449043273926,0.5499442511552418,0.5536673665046692,0.5934062917851416,Larry Coben - NRG.txt,0.5800000000000001,0.52,0.54,0.56,0.6000000000000001
ray scott,Ray Scott - LEA.txt,0.4401422211998948,0.4995747564801343,0.5418129171474595,0.5126028334728505,0.5413410088270652,Ray Scott - LEA.txt,0.6000000000000001,0.6000000000000001,0.5800000000000001,0.6000000000000001,0.56
jane fraser,Jane Fraser - Citigroup CEO.txt,0.5086802689630874,0.5112971358553539,0.5425398313617245,0.514916249646502,0.585003786266174,Jane Fraser - Citigroup CEO.txt,0.52,0.4914285714285714,0.6000000000000001,0.5142857142857143,0.5371428571428571
gary dickerson,Gary Dickerson - AMAT.txt,0.54491820324021,0.499801367521286,0.5514634023142783,0.5092935447798195,0.6106763249682757,Gary Dickerson - AMAT.txt,0.5111111111111112,0.4222222222222222,0.4,0.4666666666666667,0.6
martin schroeter,Martin Schroeter - KD.txt,0.5289200987621974,0.5159647107440474,0.5354898578189591,0.5571914088625319,0.6032917031419104,Martin Schroeter - KD.txt,0.46,0.47,0.6000000000000001,0.52,0.49
