Name,File,BERT_Extroversion,BERT_Neuroticism,BERT_Agreeableness,BERT_Conscientiousness,BERT_Openness,LIWC_Extroversion,LIWC_Neuroticism,LIWC_Agreeableness,LIWC_Conscientiousness,LIWC_Openness
Antonio Neri,Antonio Neri - HPE.txt,0.48730828364690143,0.5043798436721166,0.5109742283821106,0.4869673599799474,0.5117525657018026,0.4,0.4,0.5666666666666667,0.6000000000000001,0.43333333333333335
John Doyle,John Doyle - MMC.txt,0.4856225997209549,0.503045047322909,0.5086568892002106,0.4897732486327489,0.5052900413672129,0.5285714285714286,0.5,0.6000000000000001,0.4,0.4285714285714286
Edward Decker,Edward Decker - HD.txt,0.48617522915204364,0.5032626787821451,0.508341113726298,0.49697621663411456,0.5114251176516215,0.4,0.4,0.5,0.5,0.6000000000000001
Tricia Griffith,1Tricia Griffith - PGR.txt,0.4866009056568146,0.5011688202619553,0.5076963543891907,0.4945433080196381,0.5133618593215943,0.5384615384615385,0.4153846153846154,0.6000000000000001,0.4461538461538462,0.4461538461538462
Jon Moeller,Jon Moeller - PG.txt,0.4822189509868622,0.5037648603320122,0.5055826753377914,0.4947696849703789,0.5070305317640305,0.4571428571428572,0.48571428571428577,0.6000000000000001,0.4571428571428572,0.6000000000000001
Jacek Olczak,Jacek Olczak - pm.txt,0.4831153079867363,0.49599698930978775,0.504202838987112,0.4963919594883919,0.510667972266674,0.47500000000000003,0.45,0.575,0.5,0.6000000000000001
Gail Boudreaux,1Gail Boudreaux - ELV.txt,0.4862770438194275,0.5032264828681946,0.5080398917198181,0.489808189868927,0.5124562859535218,0.42500000000000004,0.45,0.6000000000000001,0.48750000000000004,0.4625
Matt Meloy,Matt Meloy - TRGP.txt,0.4839370667934418,0.49673580527305605,0.5076585173606872,0.49487448334693906,0.5098430991172791,0.4090909090909091,0.4090909090909091,0.6000000000000001,0.4,0.4090909090909091
James Chriss,James Chriss - PYPL.txt,0.4837542653083801,0.5052998304367066,0.5098454475402832,0.4885289490222931,0.5060855388641358,0.4857142857142857,0.4571428571428572,0.5142857142857143,0.6000000000000001,0.5142857142857143
Michael Mahoney,Michael Mahoney - BSX.txt,0.48650650183359784,0.49878308176994324,0.5037878155708313,0.4865880111853282,0.5203698873519897,0.6000000000000001,0.4,0.48000000000000004,0.44,0.44
