Name,File,BERT_Extroversion,BERT_Neuroticism,BERT_Agreeableness,BERT_Conscientiousness,BERT_Openness,LIWC_Extroversion,LIWC_Neuroticism,LIWC_Agreeableness,LIWC_Conscientiousness,LIWC_Openness
Antonio Neri,Antonio Neri - HPE.txt,0.4993107299776055,0.5589253122138513,0.5615284485005367,0.4448223022158463,0.5239852491351575,0.4,0.4,0.5666666666666667,0.6000000000000001,0.43333333333333335
John Doyle,John Doyle - MMC.txt,0.44423829767591666,0.5217235102624229,0.4020204811293087,0.4281981749187607,0.44795317753193126,0.5285714285714286,0.5,0.6000000000000001,0.4,0.4285714285714286
Edward Decker,Edward Decker - HD.txt,0.42243237083798274,0.4751403235704483,0.5747992060997822,0.4417612407911624,0.4813371210029934,0.4,0.4,0.5,0.5,0.6000000000000001
Tricia Griffith,1Tricia Griffith - PGR.txt,0.4839225933002206,0.45478801093418153,0.4300307994524436,0.5571086114541378,0.5777400484395655,0.5384615384615385,0.4153846153846154,0.6000000000000001,0.4461538461538462,0.4461538461538462
Jon Moeller,Jon Moeller - PG.txt,0.5410204327340083,0.5098428316901875,0.52777770717721,0.5324138434695227,0.5346817384121105,0.4571428571428572,0.48571428571428577,0.6000000000000001,0.4571428571428572,0.6000000000000001
Jacek Olczak,Jacek Olczak - pm.txt,0.4932975968622621,0.4824520539032469,0.5948335810520389,0.5404455644410249,0.4009356020251361,0.47500000000000003,0.45,0.575,0.5,0.6000000000000001
Gail Boudreaux,1Gail Boudreaux - ELV.txt,0.47176267003360167,0.47457408547194424,0.4816207418638822,0.4848001544232774,0.46680634698495094,0.42500000000000004,0.45,0.6000000000000001,0.48750000000000004,0.4625
Matt Meloy,Matt Meloy - TRGP.txt,0.4048861828011625,0.5289780714758504,0.5848961590438624,0.5491359186099218,0.5723487810907726,0.4090909090909091,0.4090909090909091,0.6000000000000001,0.4,0.4090909090909091
James Chriss,James Chriss - PYPL.txt,0.5674904640018268,0.46698958236362426,0.46650549865625524,0.5737535752446332,0.4809692939423816,0.4857142857142857,0.4571428571428572,0.5142857142857143,0.6000000000000001,0.5142857142857143
Michael Mahoney,Michael Mahoney - BSX.txt,0.5564561149207382,0.4151730899335011,0.566453892567369,0.5326590103785502,0.580663440558709,0.6000000000000001,0.4,0.48000000000000004,0.44,0.44
Elon Musk,Elon Musk - TSLA.txt,0.425687918521386,0.49236466645186455,0.5830062220594138,0.4648632879661934,0.5203578823546848,0.4,0.5142857142857143,0.6000000000000001,0.5428571428571429,0.4571428571428572
Charlie Scharf,Charlie Scharf - WFC.txt,0.5395749704526098,0.4905616527228766,0.4438552929528612,0.43709365190248695,0.41275509821480455,0.4,0.4,0.5855287569573284,0.4,0.4
Shantanu Narayen,Shantanu Narayen - ADBE.txt,0.5405179165780313,0.4534250716785425,0.5949798905872913,0.4555599538053147,0.5923867262796969,0.43333333333333335,0.4166666666666667,0.43333333333333335,0.4666666666666667,0.6000000000000001
Jeff Harmening,Jeff Harmening - GIS.txt,0.44575536357068024,0.45365632950073187,0.5382328295694789,0.5517439213536844,0.42764854468161334,0.4222222222222222,0.4222222222222222,0.6000000000000001,0.4,0.4444444444444445
Preston Feight,Preston Feight - PCAR.txt,0.5661449782858905,0.4327631765296743,0.46766153074282013,0.41066878476275953,0.5573777826241403,0.4,0.4,0.6000000000000001,0.4666666666666667,0.4
Scott Kirby,Scott Kirby - UAL.txt,0.4852235350697503,0.581270301957777,0.4537453890590642,0.5512960041442488,0.5667867699207987,0.4,0.4,0.4,0.4,0.4
Wendell Weeks,Wendell Weeks - GLW.txt,0.5437768022729743,0.591720880922405,0.5358741058029026,0.5796213419047286,0.5992963909196019,0.4,0.4,0.5333333333333333,0.4,0.6000000000000001
Nick Zarcone,Nick Zarcone - LKQ.txt,0.4345058377697104,0.49573390160881026,0.4577698454533583,0.40770433130048106,0.5673320986920439,0.4666666666666667,0.4,0.6000000000000001,0.5333333333333333,0.4666666666666667
