CEO,x,y,Gender,Company
Antonio Neri,-4.0100856,2.7070832,Male,HPE
John Doyle,0.8568324,6.380182,Male,MMC
Edward Decker,0.282371,3.6428034,Male,HD
Tricia Griffith,0.132841,6.0471444,Female,PGR
Jon Moeller,-1.637701,3.0383077,Male,PG
Jacek Olczak,-0.3232822,2.610386,Male,pm
Gail Boudreaux,2.7983627,5.0294743,Female,ELV
Matt Meloy,-3.43181,6.884309,Male,TRGP
James Chriss,0.30559397,5.1776547,Male,PYPL
Michael Mahoney,3.6183982,4.4218903,Male,BSX
Elon Musk,-4.4201484,5.4025846,Male,TSLA
Charlie Scharf,0.16668724,6.6460156,Male,WFC
Shantanu Narayen,-3.33142,3.0293155,Male,ADBE
Jeff Harmening,-1.0817077,3.4148397,Male,GIS
Preston Feight,-4.818975,5.3073077,Male,PCAR
Scott Kirby,-4.0376973,4.556976,Male,UAL
Wendell Weeks,-2.9691143,3.7831428,Male,GLW
Nick Zarcone,-4.7862973,5.6060796,Male,LKQ
Tim Cook,-2.034886,3.5580652,Male,AAPL
Larry Coben,-2.8640275,7.359505,Male,NRG
Ray Scott,-5.066596,5.578152,Male,LEA
Jane Fraser,0.16915599,6.7768383,Male,Citigroup CEO
Gary Dickerson,-3.3239603,3.6721828,Male,AMAT
Martin Schroeter,0.08677399,5.3190374,Male,KD
Saum Sutaria,3.235694,4.859104,Male,THC
Satya Nadella,-3.9852276,2.7053916,Male,MSFT
Greg Hayes,-4.0502567,4.252253,Male,RTX
Rick Dreiling,0.00395736,3.5291343,Male,DLTR
Billy Gifford,-0.46888974,2.6057599,Male,MO
Jim Burke,-2.894276,7.6351976,Male,VST
Fred Lissalde,-4.853283,5.516592,Male,BWA
Daniel Fisher,-3.7215686,4.391983,Male,BALL
Lorenzo Simonelli,-3.7485585,6.6037526,Male,BKR
Hans Vestberg,-1.0962939,4.983857,Male,VZ
Richard Gonzalez,-1.6464778,6.948221,Male,ABBV
Mike Salvino,-3.915964,3.2268178,Male,DXC
Ravi Kumar,-3.935204,3.3758576,Male,CTSH
Ari Bousbib,3.9485817,4.501527,Male,IQV
Tony Cheng,1.2149266,6.226132,Male,RGA
Larry Culp,-4.9459357,5.567376,Male,GE
Laxman Narasimhan,-1.2020192,2.8908944,Male,SBUX
Andrew Clyde,-0.3803042,2.7638142,Male,MUSA
Ramon Laguarta,-1.1066335,2.6893294,Male,PEP
Kim Dang,-2.5371878,7.702926,Female,KMI
Brian Cornell,0.45631036,3.4768414,Male,TGT
Jenny Parmentier,-3.6310554,4.3784137,Male,PH
Darren Woods,-1.3121793,3.8563132,Male,XOM
Anthony Capuano,-0.672249,6.0826697,Male,MAR
Pierce Norton,-3.4339044,6.910856,Male,OKE
Jensen Huang,-4.017891,2.6699047,Male,NVDA
Ryan McInerney,0.27505967,5.6935577,Male,V
Bruce Bodine,-2.6700263,5.90995,Male,MOS
Bob Blue,-2.6864328,7.3881865,Male,D
Marvin  Ellison,-0.11250712,3.6083763,Male,LOW
David Rush,-1.096715,5.8783593,Male,BLDR
Vicki Hollub,-3.485155,6.995796,Female,OXY
Carrie Wheeler,-4.254869,3.7830904,Female,OPEN
Marc Benioff,-1.5521337,4.3959894,Male,CRM
Mark Sutton,-2.7297614,3.8606815,Male,IP
James Taiclet,-4.277584,4.718544,Male,LMT
Daniel O’Day,3.990567,4.5265055,Male,GILD
Stéphane Bancel,3.9728923,4.3085866,Male,MRNA
Todd Vasos,-0.1981486,3.6292317,Male,DG
Jeffrey Miller,-4.4048553,5.1622066,Male,HAL
John Donahoe,0.53282756,3.303147,Male,NKE
Bill Demchak,-0.06294969,6.483089,Male,PNC
Sean O_Connor,0.101554535,4.8384013,Male,SNEX
John Owen,0.24488164,6.6715817,Male,DFS
Adam Schechter,3.5798693,4.7848516,Male,LH
Robert Bradway,3.968447,4.286018,Male,AMGN
Eric Slifka,-3.038332,6.8340926,Male,GLP
John Roberts,-2.115277,5.7425075,Male,JBHT
Chris Leahy,-3.754783,2.7401094,Female,CDW
Brad Beckham,-5.3668933,5.040703,Male,ORLU
Rich Hume,-3.8433669,2.8066819,Male,SNX
David Smith,-5.31839,5.2769117,Male,SAH
Dave Calhoun,-4.1958666,4.6287827,Male,BA
Tom Bell,1.7324045,5.477471,Male,LDOS
David Ricks,3.9042938,4.3084655,Male,LLY
Darren Rebelez,-0.3100065,3.3198075,Male,CASY
David Hult,-5.287469,4.682306,Male,ANG
Mike Hsu,0.06715686,2.911441,Male,KMB
Michael Miebach,0.27935597,5.7062464,Male,MA
Jonas Prising,-1.782462,4.8119082,Male,MAN
David Solomon,-0.2219952,6.9614472,Male,GS
Mark Lashier,-4.1174417,7.1267743,Male,PSX
Sean Kerins,-2.60554,4.1713014,Male,ARW
David Zaslav,-0.6854566,4.644886,Male,WBD
James C. Fish,-2.2739115,5.4671288,Male,WM
Sundar Pichai,-4.0979996,2.6457903,Male,GOOGL
Jeff Martin,-2.7172513,7.826353,Male,SRE
Marc N. Casper,3.7418022,4.7532167,Male,TMO
Scott Donnelly,-3.8871205,4.3636394,Male,TXT
Ben Fowke,-2.1525817,7.367689,Male,AEP
Paul Donahue,-5.415507,5.0542316,Male,GPC
Glenn Fogel,-4.261611,3.0267591,Male,BKNG
James Cracchiolo,0.34657934,6.6439734,Male,AMP
Phebe Novakovic,-4.253733,4.8488445,Female,GD
Steven Collis,3.365027,4.3946967,Male,COR
Priscilla Almodovar,-0.38486853,6.3421917,Female,FNMA
Kathy Warden,-4.1768737,4.7317457,Female,NOC
Avigal Soreq,-3.6466243,7.1275253,Male,DK
Don Allan,-2.713989,5.15633,Male,SWK
Kevin Kwilinski,-1.422697,3.9506307,Male,BERY
Andy Cecere,0.2470791,6.4657288,Male,USB
Vimal Kapur,-3.4227493,6.0594044,Male,HON
Rodney McMullen,-0.7614927,2.9643612,Male,KR
Ed Breen,-2.7451413,4.6639104,Male,DD
Sandy Douglas,-0.7969147,2.918799,Male,UNFI
Chris Womack,-3.2033794,7.3873343,Male,SO
Dan Houston,0.40311503,6.708404,Male,PFG
Ryan Lance,-3.5294464,6.772907,Male,COP
Albert Chao,-3.0401087,4.673509,Male,WLK
Bob Sulentic,-0.80176854,6.180154,Male,CBRE
Bryan DeBoer,-3.3816688,2.5512288,Male,LAD
Kevin Hourican,-2.6962764,3.9998524,Male,SYY
Pedro Pizarro,-2.9791718,7.4917016,Male,EIX
Jim Umpleby,-4.414796,5.5194364,Male,CAT
Robert Isom,-4.144614,4.425866,Male,AAL
Albert Bourla,3.7940273,4.1538415,Male,PFE
Hock Tan,-4.018261,2.6993012,Male,AVGO
John Stankey,-1.1373765,4.838297,Male,T
Alan Shaw,-1.9201372,5.6384296,Male,NSC
Andrew Witty,2.9423833,5.122077,Male,UNH
Enrique Lores,-3.1865084,4.180009,Male,HPQ
Arvind Krishna,-3.8124068,2.8564696,Male,IBM
Tim Knavish,-2.9704003,4.393589,Male,PPG
Lourenco Goncalves,-3.0649757,6.5215063,Male,CLF
Richard Dickson,0.47545433,3.1445422,Male,GAP
Mark Stewart,-5.484553,5.4240665,Male,GT
Judy Marks,-2.4692888,4.7870207,Female,OTIS
Lane Riggs,-3.8766246,7.312604,Male,VLO
Timothy Wentworth,1.0895475,3.6659565,Male,WBA
Cristiano Amon,-4.0308433,2.9647114,Male,QCOM
Marc Miller,2.9285793,5.2924767,Male,UHS
James Fitterling,-2.7472727,4.4413505,Male,DOW
Marc Bitzer,-2.6785877,5.087493,Male,WHR
Bom Kim,0.43962577,3.32991,Male,CPNG
Heidi Petz,-1.1829802,5.803213,Male,SHW
Mark Zuckerberg,-1.6007998,4.2061973,Male,META
Bruce Broussard,2.5898287,5.185055,Male,HUM
Ellen Cooper,0.8698038,6.5897474,Female,LNC
Robert Iger,-0.7633886,4.778444,Male,DIS
Ezra Yacob,-3.4998102,6.966467,Male,EOG
Joaquin Duato,3.4517145,4.528922,Male,JNJ
Kate Johnson,-3.2733197,2.5830283,Female,LUMN
Peter Zaffino,0.8413948,6.3120213,Male,AIG
Michael Kasbar,-4.0953727,3.473918,Male,WKC
Corie S. Barry,0.24669772,3.9048703,Female,BBY
Barbara Rentler,0.41213512,3.2745726,Female,ROST
Christopher Kubasik,-4.08052,4.098971,Male,LHX
Tom Polen,-3.3698242,4.5098295,Male,BDX
Andrew Marsh,-3.188507,7.641945,Male,ETR
Paul Romanowski,-0.70395863,6.2001424,Male,DHI
Patricia Poppe,-2.5858128,7.5752463,Female,PCG
Troy Rudd,-0.8880408,5.949095,Male,ACM
Richard Fairbank,-0.07350183,6.5155954,Male,COF
Daryl Kenningham,-5.204752,5.298639,Male,GPI
Christophe Beck,-3.1163173,4.7465587,Male,ECL
Fabrizio Freda,0.31929013,2.9367719,Male,EL
Ron O_Hanley,0.21834445,6.9543014,Male,STT
Donald Macpherson,-0.81961375,3.8242643,Male,GWW
Leon Topalian,-3.1064467,5.843378,Male,NUE
Scott Smith,4.0709023,4.3722153,Male,VTRS
Dave Bozeman,-2.0338147,5.856091,Male,CHRW
Calvin Butler,-3.0467255,7.758928,Male,EXC
Carol Tome,-1.7246557,3.989961,Female,UPS
William Hornbuckle,-0.6317724,4.8323903,Male,MGM
Steve Squeri,0.3185749,5.624465,Male,AXP
Ted Pick,0.1686369,6.856501,Male,MS
Tim Donahue,-2.8694937,6.1234865,Male,CCK
Phil Gallagher,-2.3545008,4.134433,Male,AVT
Karla Lewis,-3.1703126,6.271249,Female,RS
Christian Ulbrich,-0.19852394,6.7588797,Male,JLL
Chris Boerner,3.6375313,4.4251537,Male,BMY
Brian Roberts,-0.84063566,4.8315024,Male,CMCSA
Brian Moynihan,-0.13986488,6.511542,Male,BAC
Hal Lawton,-2.573864,5.6317263,Male,TSCO
Matthew C. Lucey,-3.2866938,7.4768224,Male,PBF
Michel Khalaf,1.1590998,6.3257422,Male,MET
Jennifer Rumsey,-4.40436,5.7774158,Female,CMI
Chris Swift,0.4370717,6.227799,Male,HIG
Sephanie Ferris,0.18921936,6.3110476,Female,FIS
Rob Davis,3.823001,4.2131166,Male,MRK
Samuel Hazen,3.0643623,5.069629,Male,HCA
Mark Millett,-3.1187208,5.6255856,Male,STLD
Christopher O_Herlihy,-2.5516367,5.1917253,Male,ITW
Brian Doubles,0.19831376,5.9481716,Male,SYF
Kenny Wilson,-5.0618367,5.5706058,Male,JBL
Sanjay Mehrotra,-3.2127552,3.4655974,Male,MU
James Quincey,-1.4328609,2.6734414,Male,KO
Kevin Lobo,3.2230272,4.7496295,Male,SYK
John Wren,-3.9788225,2.5806422,Male,OMC
Joseph Zubretsky,2.8728757,5.0391927,Male,MOH
Ed Bastian,-3.6667984,4.4060845,Male,DAL
Jack Fusco,-3.603564,7.0213017,Male,LNG
John Zillmer,-0.93982863,3.3206754,Male,ARMK
Bob Jordan,-3.7803469,4.452596,Male,LUV
Michael Rapino,-0.5842001,4.709155,Male,LYV
Bill Rogers,0.49732685,6.6181245,Male,TFC
Lynn Good,-2.6716466,7.566715,Female,DUK
James Farley,-5.091862,5.699608,Male,F
Jon Vander Ark,-0.2935114,6.8400874,Male,RSG
Donnie King,-0.8118523,3.0856586,Male,TSN
Steve Cahillane,-2.2539868,3.2802567,Male,K
John Engel,-2.409518,4.2407413,Male,WCC
Tom Kingsbury,0.4000499,3.3037174,Male,KSS
Joseph Dominguez,-2.7906148,7.6477356,Male,CEG
Wilfred Chiang,-3.3144977,6.815123,Male,PAGP
Tim Go,-3.908288,7.137224,Male,DINO
Seifi Ghasemi,-3.3778982,6.4094114,Male,APD
Gerardo Norcia,-2.840608,7.687157,Male,DTE
Juan Luciano,-2.7057183,5.9130826,Male,ADM
