Name,File,agree,consc,extra,humility,narc,neuro,openn
Antonio Neri,Antonio Neri - HPE.txt,,,,,,,
John Doyle,John Doyle - MMC.txt,,,,,,,
Edward Decker,Edward Decker - HD.txt,,,,,,,
Tricia Griffith,1Tricia Griffith - PGR.txt,,,,,,,
Jon Moeller,Jon Moeller - PG.txt,,,,,,,
Jacek Olczak,Jacek Olczak - pm.txt,,,,,,,
Gail Boudreaux,1Gail Boudreaux - ELV.txt,,,,,,,
Matt Meloy,Matt Meloy - TRGP.txt,,,,,,,
James Chriss,James Chriss - PYPL.txt,,,,,,,
Michael Mahoney,Michael Mahoney - BSX.txt,,,,,,,
Elon Musk,Elon Musk - TSLA.txt,,,,,,,
Charlie Scharf,Charlie Scharf - WFC.txt,,,,,,,
Shantanu Narayen,Shantanu Narayen - ADBE.txt,,,,,,,
Jeff Harmening,Jeff Harmening - GIS.txt,,,,,,,
Preston Feight,Preston Feight - PCAR.txt,,,,,,,
Scott Kirby,Scott Kirby - UAL.txt,,,,,,,
Wendell Weeks,Wendell Weeks - GLW.txt,,,,,,,
Nick Zarcone,Nick Zarcone - LKQ.txt,,,,,,,
Tim Cook,Tim Cook - AAPL.txt,,,,,,,
Larry Coben,Larry Coben - NRG.txt,,,,,,,
Ray Scott,Ray Scott - LEA.txt,,,,,,,
Jane Fraser,Jane Fraser - Citigroup CEO.txt,,,,,,,
Gary Dickerson,Gary Dickerson - AMAT.txt,,,,,,,
Martin Schroeter,Martin Schroeter - KD.txt,,,,,,,
Saum Sutaria,Saum Sutaria - THC.txt,,,,,,,
Satya Nadella,Satya Nadella - MSFT.txt,,,,,,,
Greg Hayes,Greg Hayes - RTX.txt,,,,,,,
Rick Dreiling,Rick Dreiling - DLTR.txt,,,,,,,
Billy Gifford,Billy Gifford - MO.txt,,,,,,,
Jim Burke,Jim Burke - VST.txt,,,,,,,
Safra Catz,1Safra Catz -ORCL.txt,,,,,,,
Fred Lissalde,Fred Lissalde - BWA.txt,,,,,,,
Daniel Fisher,Daniel Fisher - BALL.txt,,,,,,,
Lorenzo Simonelli,Lorenzo Simonelli - BKR.txt,,,,,,,
Hans Vestberg,Hans Vestberg - VZ.txt,,,,,,,
Richard Gonzalez,Richard Gonzalez - ABBV.txt,,,,,,,
Mike Salvino,Mike Salvino - DXC.txt,,,,,,,
Ravi Kumar,Ravi Kumar - CTSH.txt,,,,,,,
Ari Bousbib,Ari Bousbib - IQV.txt,,,,,,,
New Text Document,New Text Document.txt,,,,,,,
Tony Cheng,Tony Cheng - RGA.txt,,,,,,,
Larry Culp,Larry Culp - GE.txt,,,,,,,
Laxman Narasimhan,Laxman Narasimhan - SBUX.txt,,,,,,,
Andrew Clyde,Andrew Clyde - MUSA.txt,,,,,,,
Ramon Laguarta,Ramon Laguarta - PEP.txt,,,,,,,
Kim Dang,1Kim Dang - KMI.txt,,,,,,,
Brian Cornell,Brian Cornell - TGT.txt,,,,,,,
Jenny Parmentier,1Jenny Parmentier - PH.txt,,,,,,,
