Name,File,agree,consc,extra,humility,narc,neuro,openn
Antonio Neri,Antonio Neri - HPE.txt,4.331999778747559,3.450000047683716,3.863999843597412,4.104000091552734,4.644000053405762,2.832000255584717,3.552000045776367
John Doyle,John Doyle - MMC.txt,4.685999870300293,3.755999803543091,4.4639997482299805,4.182000160217285,2.627999782562256,2.8379998207092285,3.624000072479248
Edward Decker,Edward Decker - HD.txt,4.368000030517578,4.182000160217285,4.890000343322754,3.8519999980926514,5.052000045776367,2.874000072479248,4.265999794006348
Tricia Griffith,1Tricia Griffith - PGR.txt,4.517999649047852,3.9779999256134033,4.49399995803833,3.5820000171661377,4.308000087738037,3.125999927520752,3.5400002002716064
Jon Moeller,Jon Moeller - PG.txt,4.703999996185303,3.179999828338623,4.1579999923706055,3.9900002479553223,3.894000291824341,2.7899999618530273,3.629999876022339
Jacek Olczak,Jacek Olczak - pm.txt,3.81000018119812,4.146000385284424,4.169999599456787,3.629999876022339,4.553999900817871,3.138000011444092,3.5220000743865967
Gail Boudreaux,1Gail Boudreaux - ELV.txt,3.431999921798706,5.009999752044678,4.47599983215332,3.888000011444092,3.7680001258850098,3.563999891281128,4.439999580383301
Matt Meloy,Matt Meloy - TRGP.txt,4.386000156402588,3.5999999046325684,4.625999927520752,3.7739996910095215,3.7260003089904785,2.747999906539917,3.3420002460479736
James Chriss,James Chriss - PYPL.txt,4.134000301361084,4.236000061035156,3.929999828338623,3.6060001850128174,4.560000419616699,2.99399995803833,3.636000156402588
Michael Mahoney,Michael Mahoney - BSX.txt,4.410000324249268,4.50600004196167,4.601999759674072,3.929999828338623,4.3979997634887695,3.2099997997283936,4.452000141143799
Elon Musk,Elon Musk - TSLA.txt,4.47599983215332,3.1679999828338623,4.5239996910095215,3.923999786376953,4.043999671936035,2.9100000858306885,3.941999912261963
Charlie Scharf,Charlie Scharf - WFC.txt,4.458000183105469,3.4260001182556152,4.6080002784729,4.038000106811523,3.809999942779541,2.861999988555908,3.936000108718872
Shantanu Narayen,Shantanu Narayen - ADBE.txt,4.349999904632568,3.6480000019073486,4.026000022888184,3.504000186920166,4.62600040435791,2.940000057220459,3.491999864578247
Jeff Harmening,Jeff Harmening - GIS.txt,4.361999988555908,3.4260001182556152,4.121999740600586,3.80400013923645,4.139999866485596,2.802000045776367,3.642000198364258
Preston Feight,Preston Feight - PCAR.txt,4.0920000076293945,4.613999843597412,4.565999984741211,4.013999938964844,4.434000492095947,2.8439998626708984,4.001999855041504
Scott Kirby,Scott Kirby - UAL.txt,4.361999988555908,4.5239996910095215,4.800000190734863,4.2779998779296875,3.936000108718872,2.868000030517578,3.869999647140503
Wendell Weeks,Wendell Weeks - GLW.txt,4.122000217437744,4.122000217437744,4.52400016784668,4.355999946594238,3.888000011444092,2.99399995803833,4.236000061035156
Nick Zarcone,Nick Zarcone - LKQ.txt,4.470000267028809,3.5820000171661377,4.361999988555908,3.9900002479553223,4.716000080108643,2.8440001010894775,3.6120002269744873
Tim Cook,Tim Cook - AAPL.txt,4.49399995803833,4.788000106811523,4.51800012588501,3.8340001106262207,3.797999858856201,2.99399995803833,4.427999973297119
Larry Coben,Larry Coben - NRG.txt,4.349999904632568,4.961999893188477,4.415999889373779,3.75600004196167,3.4619998931884766,3.179999828338623,5.052000045776367
Ray Scott,Ray Scott - LEA.txt,4.812000274658203,2.7239999771118164,4.47599983215332,3.9660000801086426,4.343999862670898,2.8320000171661377,3.384000062942505
Jane Fraser,Jane Fraser - Citigroup CEO.txt,4.248000144958496,4.127999782562256,4.289999961853027,3.9659996032714844,4.205999851226807,3.0,4.055999755859375
Gary Dickerson,Gary Dickerson - AMAT.txt,4.619999885559082,3.929999828338623,4.386000156402588,3.4019999504089355,4.229999542236328,2.760000228881836,4.458000183105469
Martin Schroeter,Martin Schroeter - KD.txt,4.560000419616699,4.1579999923706055,4.175999641418457,3.74399995803833,4.572000026702881,2.634000062942505,4.355999946594238
Saum Sutaria,Saum Sutaria - THC.txt,4.205999851226807,5.303999900817871,4.307999610900879,3.74399995803833,4.727999687194824,2.867999792098999,4.2179999351501465
Satya Nadella,Satya Nadella - MSFT.txt,4.169999599456787,4.296000003814697,3.929999828338623,4.073999881744385,4.889999866485596,3.2940001487731934,3.690000057220459
Greg Hayes,Greg Hayes - RTX.txt,4.451999664306641,3.629999876022339,4.817999839782715,3.7799999713897705,3.9119999408721924,2.7839999198913574,3.516000270843506
Rick Dreiling,Rick Dreiling - DLTR.txt,4.409999847412109,3.570000171661377,4.49399995803833,4.541999816894531,3.7319998741149902,2.927999973297119,3.9839999675750732
Billy Gifford,Billy Gifford - MO.txt,3.6720001697540283,4.631999969482422,4.7039995193481445,3.7139999866485596,4.553999900817871,3.0900001525878906,3.684000015258789
Jim Burke,Jim Burke - VST.txt,4.296000003814697,3.677999973297119,4.949999809265137,4.254000186920166,3.450000047683716,3.0779998302459717,4.001999855041504
Safra Catz,1Safra Catz -ORCL.txt,4.302000045776367,3.9660000801086426,4.650000095367432,4.019999980926514,4.344000339508057,3.119999885559082,4.050000190734863
Fred Lissalde,Fred Lissalde - BWA.txt,3.8400001525878906,3.8519999980926514,4.529999732971191,3.618000030517578,4.140000343322754,3.2220001220703125,3.8519999980926514
