Name,File,agree,consc,extra,humility,narc,neuro,openn
Antonio Neri,Antonio Neri - HPE.txt,4.320000171661377,5.039999961853027,4.655999660491943,3.857999801635742,4.0199995040893555,3.125999927520752,4.6080002784729
John Doyle,John Doyle - MMC.txt,4.547999858856201,4.272000312805176,4.8420000076293945,3.6599998474121094,4.206000328063965,2.5980000495910645,4.199999809265137
Edward Decker,Edward Decker - HD.txt,4.560000419616699,4.409999847412109,4.559999465942383,3.7739996910095215,3.809999942779541,3.113999843597412,4.1579999923706055
Tricia Griffith,1Tricia Griffith - PGR.txt,4.541999816894531,4.48199987411499,4.866000175476074,4.001999855041504,4.2179999351501465,3.2220001220703125,4.553999900817871
Jon Moeller,Jon Moeller - PG.txt,4.319999694824219,4.223999977111816,4.572000026702881,4.217999458312988,4.541999816894531,3.390000104904175,4.452000141143799
Jacek Olczak,Jacek Olczak - pm.txt,4.3259992599487305,4.404000282287598,4.3979997634887695,3.5280003547668457,4.265999794006348,3.431999921798706,4.116000175476074
Gail Boudreaux,1Gail Boudreaux - ELV.txt,4.4639997482299805,4.265999794006348,4.559999942779541,3.7080001831054688,4.061999797821045,3.01200008392334,4.5239996910095215
Matt Meloy,Matt Meloy - TRGP.txt,4.668000221252441,5.1479997634887695,4.7039995193481445,3.684000015258789,4.205999851226807,3.4200000762939453,5.088000297546387
James Chriss,James Chriss - PYPL.txt,4.674000263214111,3.7740001678466797,5.675999641418457,3.7079997062683105,4.589999675750732,2.5199999809265137,3.888000011444092
Michael Mahoney,Michael Mahoney - BSX.txt,3.863999843597412,5.310000419616699,4.823999881744385,3.797999858856201,4.572000026702881,3.0119998455047607,4.986000061035156
Elon Musk,Elon Musk - TSLA.txt,4.51200008392334,5.328000068664551,4.386000156402588,3.6419997215270996,4.674000263214111,2.688000202178955,5.190000057220459
Charlie Scharf,Charlie Scharf - WFC.txt,4.2179999351501465,5.154000282287598,4.529999732971191,4.1579999923706055,4.074000358581543,2.8980000019073486,5.3580002784729
Shantanu Narayen,Shantanu Narayen - ADBE.txt,4.962000370025635,4.685999870300293,4.721999645233154,3.605999708175659,4.176000118255615,2.5379998683929443,5.453999996185303
Jeff Harmening,Jeff Harmening - GIS.txt,4.349999904632568,5.015999794006348,4.961999416351318,3.173999786376953,3.881999969482422,3.4019999504089355,4.818000316619873
Preston Feight,Preston Feight - PCAR.txt,4.176000118255615,5.111999988555908,4.812000274658203,3.372000217437744,4.565999507904053,3.4019999504089355,4.914000034332275
Scott Kirby,Scott Kirby - UAL.txt,4.104000091552734,4.926000118255615,4.5239996910095215,3.6599998474121094,4.446000099182129,2.8499999046325684,5.099999904632568
Wendell Weeks,Wendell Weeks - GLW.txt,3.9539999961853027,5.322000026702881,4.787999629974365,3.737999677658081,3.629999876022339,3.2339999675750732,5.118000030517578
Nick Zarcone,Nick Zarcone - LKQ.txt,4.800000190734863,4.5360002517700195,4.703999996185303,3.1740000247955322,4.619999885559082,2.8919999599456787,4.727999687194824
Tim Cook,Tim Cook - AAPL.txt,4.421999931335449,5.26800012588501,4.739999771118164,3.75,4.152000427246094,2.9699997901916504,5.232000350952148
Larry Coben,Larry Coben - NRG.txt,5.010000228881836,4.7220001220703125,4.7039995193481445,4.271999835968018,4.067999839782715,2.9699997901916504,5.136000633239746
Ray Scott,Ray Scott - LEA.txt,4.266000270843506,5.202000141143799,4.440000057220459,3.7860000133514404,4.673999786376953,3.1740002632141113,5.010000228881836
Jane Fraser,Jane Fraser - Citigroup CEO.txt,4.5360002517700195,4.710000038146973,4.415999889373779,3.690000057220459,3.936000108718872,2.7119998931884766,3.857999801635742
Gary Dickerson,Gary Dickerson - AMAT.txt,4.236000061035156,5.2139997482299805,4.51800012588501,3.5099997520446777,4.098000526428223,3.059999942779541,4.956000328063965
Martin Schroeter,Martin Schroeter - KD.txt,4.824000358581543,4.661999702453613,5.003999710083008,3.2099997997283936,4.578000068664551,3.2160000801086426,4.949999809265137
Saum Sutaria,Saum Sutaria - THC.txt,4.1579999923706055,5.076000213623047,5.069999694824219,4.008000373840332,4.668000221252441,3.2039997577667236,4.932000160217285
Satya Nadella,Satya Nadella - MSFT.txt,4.338000297546387,4.872000217437744,4.800000190734863,3.6599998474121094,4.595999717712402,3.0899999141693115,4.973999977111816
Greg Hayes,Greg Hayes - RTX.txt,4.187999725341797,4.998000144958496,4.631999969482422,4.205999851226807,4.206000328063965,3.3359999656677246,4.872000217437744
Rick Dreiling,Rick Dreiling - DLTR.txt,5.033999919891357,4.62600040435791,4.733999729156494,3.5999999046325684,3.755999803543091,2.766000270843506,4.541999816894531
Billy Gifford,Billy Gifford - MO.txt,5.015999794006348,3.7260003089904785,4.314000129699707,4.199999809265137,3.9839999675750732,2.5440001487731934,4.553999900817871
Jim Burke,Jim Burke - VST.txt,4.824000358581543,3.75600004196167,4.433999538421631,4.104000091552734,4.745999813079834,2.7239997386932373,4.48199987411499
Safra Catz,1Safra Catz -ORCL.txt,4.452000141143799,4.703999996185303,5.111999988555908,3.6659998893737793,4.4579997062683105,3.132000207901001,4.236000061035156
Fred Lissalde,Fred Lissalde - BWA.txt,4.4160003662109375,4.776000022888184,4.46999979019165,3.5880000591278076,4.331999778747559,2.9700000286102295,4.404000282287598
Daniel Fisher,Daniel Fisher - BALL.txt,4.319999694824219,4.926000118255615,5.159999847412109,3.113999843597412,4.314000129699707,3.0960001945495605,4.674000263214111
Lorenzo Simonelli,Lorenzo Simonelli - BKR.txt,4.302000045776367,4.452000141143799,4.932000160217285,3.9660000801086426,4.6080002784729,3.384000301361084,4.169999599456787
Hans Vestberg,Hans Vestberg - VZ.txt,4.980000019073486,4.260000228881836,4.637999534606934,3.947999954223633,4.080000400543213,2.7599997520446777,4.374000072479248
Richard Gonzalez,Richard Gonzalez - ABBV.txt,4.859999656677246,4.961999893188477,4.823999881744385,3.5460000038146973,4.631999969482422,2.621999979019165,5.2260003089904785
Mike Salvino,Mike Salvino - DXC.txt,4.9019999504089355,4.619999885559082,4.710000038146973,4.187999725341797,3.815999984741211,2.808000087738037,4.7220001220703125
Ravi Kumar,Ravi Kumar - CTSH.txt,4.374000549316406,4.860000133514404,4.998000144958496,3.6480000019073486,4.140000343322754,3.0239999294281006,4.973999977111816
Ari Bousbib,Ari Bousbib - IQV.txt,4.427999973297119,5.064000129699707,4.559999465942383,3.9119999408721924,3.191999912261963,2.9639999866485596,4.680000305175781
New Text Document,New Text Document.txt,,,,,,,
Tony Cheng,Tony Cheng - RGA.txt,4.914000034332275,4.386000156402588,5.081999778747559,4.026000022888184,4.607999801635742,2.9700000286102295,5.0279998779296875
Larry Culp,Larry Culp - GE.txt,4.314000129699707,4.811999797821045,4.637999534606934,4.050000190734863,4.188000202178955,3.4140000343322754,4.872000217437744
Laxman Narasimhan,Laxman Narasimhan - SBUX.txt,4.631999969482422,4.758000373840332,4.380000114440918,3.2939999103546143,4.121999740600586,3.138000011444092,4.728000164031982
