Name,File,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness
Antonio Neri,Antonio Neri - HPE.txt,0.6000000000000001,0.45833333333333337,0.4833333333333334,0.525,0.6000000000000001
John Doyle,John Doyle - MMC.txt,0.5444444444444445,0.5777777777777778,0.5277777777777778,0.43333333333333335,0.6000000000000001
Edward Decker,Edward Decker - HD.txt,0.6000000000000001,0.4714285714285714,0.5428571428571429,0.4285714285714286,0.5285714285714286
Tricia Griffith,1Tricia Griffith - PGR.txt,0.6000000000000001,0.52,0.555,0.48000000000000004,0.5900000000000001
Jon Moeller,Jon Moeller - PG.txt,0.5545454545454546,0.4363636363636364,0.6000000000000001,0.4454545454545455,0.5818181818181818
Jacek Olczak,Jacek Olczak - pm.txt,0.4608695652173913,0.5130434782608696,0.4391304347826087,0.46956521739130436,0.6000000000000001
Gail Boudreaux,1Gail Boudreaux - ELV.txt,0.48750000000000004,0.48750000000000004,0.6000000000000001,0.525,0.55
Matt Meloy,Matt Meloy - TRGP.txt,0.504,0.528,0.6000000000000001,0.448,0.56
James Chriss,James Chriss - PYPL.txt,0.5428571428571429,0.49523809523809526,0.6000000000000001,0.5238095238095238,0.580952380952381
Michael Mahoney,Michael Mahoney - BSX.txt,0.6000000000000001,0.5230769230769231,0.5384615384615385,0.46153846153846156,0.5846153846153846
Elon Musk,Elon Musk - TSLA.txt,0.5,0.6000000000000001,0.47692307692307695,0.49230769230769234,0.5923076923076923
Charlie Scharf,Charlie Scharf - WFC.txt,0.5666666666666667,0.4666666666666667,0.43333333333333335,0.6000000000000001,0.6000000000000001
Shantanu Narayen,Shantanu Narayen - ADBE.txt,0.5529411764705883,0.5176470588235295,0.5294117647058824,0.5058823529411764,0.6000000000000001
Jeff Harmening,Jeff Harmening - GIS.txt,0.5090909090909091,0.4636363636363637,0.4727272727272728,0.4318181818181818,0.6000000000000001
Preston Feight,Preston Feight - PCAR.txt,0.55,0.5750000000000001,0.6000000000000001,0.6000000000000001,0.525
Scott Kirby,Scott Kirby - UAL.txt,0.5,0.6000000000000001,0.6000000000000001,0.4,0.5
Wendell Weeks,Wendell Weeks - GLW.txt,0.5846153846153846,0.46153846153846156,0.4461538461538462,0.4307692307692308,0.6000000000000001
Nick Zarcone,Nick Zarcone - LKQ.txt,0.45,0.45,0.6000000000000001,0.47500000000000003,0.45
Tim Cook,Tim Cook - AAPL.txt,0.6000000000000001,0.5555555555555556,0.4444444444444445,0.5333333333333333,0.5111111111111112
Larry Coben,Larry Coben - NRG.txt,0.5800000000000001,0.52,0.54,0.56,0.6000000000000001
Ray Scott,Ray Scott - LEA.txt,0.6000000000000001,0.6000000000000001,0.5800000000000001,0.6000000000000001,0.56
Jane Fraser,Jane Fraser - Citigroup CEO.txt,0.52,0.49142857142857144,0.6000000000000001,0.5142857142857143,0.5371428571428571
Gary Dickerson,Gary Dickerson - AMAT.txt,0.5111111111111112,0.4222222222222222,0.4,0.4666666666666667,0.6
Martin Schroeter,Martin Schroeter - KD.txt,0.46,0.47000000000000003,0.6000000000000001,0.52,0.49000000000000005
Saum Sutaria,Saum Sutaria - THC.txt,0.48965517241379314,0.4620689655172414,0.5172413793103449,0.5517241379310345,0.6000000000000001
Satya Nadella,Satya Nadella - MSFT.txt,0.56,0.5466666666666666,0.6000000000000001,0.44,0.56
Greg Hayes,Greg Hayes - RTX.txt,0.47500000000000003,0.5,0.5,0.47500000000000003,0.6000000000000001
Rick Dreiling,Rick Dreiling - DLTR.txt,0.5142857142857143,0.5285714285714286,0.6000000000000001,0.5857142857142857,0.5285714285714286
Billy Gifford,Billy Gifford - MO.txt,0.6000000000000001,0.5083333333333333,0.43333333333333335,0.5583333333333333,0.5166666666666667
Jim Burke,Jim Burke - VST.txt,0.5217391304347826,0.6000000000000001,0.5565217391304348,0.46521739130434786,0.5130434782608696
Safra Catz -ORCL,1Safra Catz -ORCL.txt,0.5666666666666667,0.5666666666666667,0.6000000000000001,0.6000000000000001,0.5666666666666667
Fred Lissalde,Fred Lissalde - BWA.txt,0.6000000000000001,0.4363636363636364,0.4727272727272728,0.5818181818181819,0.4727272727272728
Daniel Fisher,Daniel Fisher - BALL.txt,0.4594594594594595,0.5081081081081081,0.5135135135135136,0.4702702702702703,0.6000000000000001
Lorenzo Simonelli,Lorenzo Simonelli - BKR.txt,0.45625000000000004,0.4375,0.43125,0.4375,0.6000000000000001
Hans Vestberg,Hans Vestberg - VZ.txt,0.6000000000000001,0.43333333333333335,0.5523809523809524,0.5285714285714286,0.4428571428571429
Richard Gonzalez,Richard Gonzalez - ABBV.txt,0.6000000000000001,0.4571428571428572,0.5428571428571429,0.5571428571428572,0.6000000000000001
Mike Salvino,Mike Salvino - DXC.txt,0.5833333333333334,0.48333333333333334,0.6000000000000001,0.5666666666666667,0.525
Ravi Kumar,Ravi Kumar - CTSH.txt,0.6000000000000001,0.4648648648648649,0.5405405405405406,0.4702702702702703,0.5297297297297298
Ari Bousbib,Ari Bousbib - IQV.txt,0.5238095238095238,0.6000000000000001,0.5238095238095238,0.4285714285714286,0.5238095238095238
Tony Cheng,Tony Cheng - RGA.txt,0.5428571428571429,0.5285714285714286,0.6000000000000001,0.4714285714285715,0.5142857142857143
Larry Culp,Larry Culp - GE.txt,0.4823529411764706,0.4470588235294118,0.45882352941176474,0.5411764705882354,0.6000000000000001
Laxman Narasimhan,Laxman Narasimhan - SBUX.txt,0.49,0.52,0.6000000000000001,0.45,0.52
Andrew Clyde,Andrew Clyde - MUSA.txt,0.6000000000000001,0.52,0.54,0.46,0.56
Ramon Laguarta,Ramon Laguarta - PEP.txt,0.468,0.44,0.456,0.452,0.6000000000000001
Kim Dang,1Kim Dang - KMI.txt,0.6000000000000001,0.5666666666666667,0.5833333333333334,0.55,0.5166666666666667
Brian Cornell,Brian Cornell - TGT.txt,0.5666666666666667,0.43333333333333335,0.5083333333333333,0.47500000000000003,0.6000000000000001
Jenny Parmentier,1Jenny Parmentier - PH.txt,0.5375000000000001,0.5,0.5125000000000001,0.45,0.6
Darren Woods,Darren Woods - XOM.txt,0.5358490566037736,0.5283018867924528,0.5735849056603775,0.6000000000000001,0.6000000000000001
Anthony Capuano,Anthony Capuano - MAR.txt,0.5555555555555556,0.49629629629629635,0.4666666666666667,0.4666666666666667,0.6000000000000001
Pierce Norton,Pierce Norton - OKE.txt,0.4285714285714286,0.48571428571428577,0.6000000000000001,0.48571428571428577,0.4285714285714286
Jensen Huang,Jensen Huang - NVDA.txt,0.456,0.456,0.48000000000000004,0.512,0.6000000000000001
Ryan McInerney,Ryan McInerney - V.txt,0.5142857142857143,0.5928571428571429,0.5285714285714286,0.5071428571428571,0.6000000000000001
Bruce Bodine,Bruce Bodine - MOS.txt,0.6000000000000001,0.5142857142857143,0.5523809523809524,0.580952380952381,0.5238095238095238
Bob Blue,Bob Blue - D.txt,0.5538461538461539,0.46153846153846156,0.6000000000000001,0.5230769230769231,0.46153846153846156
Marvin  Ellison,Marvin  Ellison - LOW.txt,0.5,0.5285714285714286,0.5571428571428572,0.5285714285714286,0.6000000000000001
David Rush,David Rush - BLDR.txt,0.5428571428571429,0.5142857142857143,0.6000000000000001,0.4571428571428572,0.5714285714285714
Vicki Hollub,1Vicki Hollub - OXY.txt,0.52,0.48000000000000004,0.6000000000000001,0.49333333333333335,0.52
Carrie Wheeler,1Carrie Wheeler - OPEN.txt,0.6000000000000001,0.4428571428571429,0.48571428571428577,0.5285714285714286,0.5571428571428572
Marc Benioff,Marc Benioff - CRM.txt,0.5111111111111112,0.4444444444444445,0.6000000000000001,0.5555555555555556,0.5481481481481483
Mark Sutton,Mark Sutton - IP.txt,0.5833333333333334,0.4666666666666667,0.55,0.55,0.6000000000000001
James Taiclet,James Taiclet - LMT.txt,0.4833333333333334,0.5,0.6000000000000001,0.6000000000000001,0.5416666666666667
