CEO,File,Word Count,Sentence Count,Avg Sentence Length,Vocabulary Size,Lexical Diversity,Top Words
Antonio Neri,Antonio Neri - HPE.txt,2624,161,16.29813664596273,483,0.18407012195121952,"ai:13, think:13, data:13, going:11, revenue:11, hpe:10, demand:9, really:9, customers:9, saw:8"
John Doyle,John Doyle - MMC.txt,2483,191,13.0,430,0.17317760773258156,"growth:15, business:13, next:12, think:12, us:11, market:11, thank:10, like:9, continue:9, maybe:8"
Edward Decker,Edward Decker - HD.txt,1238,71,17.43661971830986,315,0.2544426494345719,"home:7, look:7, think:7, customer:6, going:6, tremendous:5, segment:4, continue:4, build:4, share:4"
Tricia Griffith,1Tricia Griffith - PGR.txt,4452,300,14.84,586,0.1316262353998203,"think:47, really:31, like:23, get:21, lot:19, want:19, right:18, going:18, little:18, new:17"
Jon Moeller,Jon Moeller - PG.txt,1686,76,22.18421052631579,392,0.232502965599051,"andre:13, think:10, going:7, growth:7, last:7, categories:7, innovation:6, line:6, significant:6, retail:6"
Jacek Olczak,Jacek Olczak - pm.txt,3328,195,17.066666666666666,587,0.17638221153846154,"think:25, also:21, iqos:19, growth:15, zyn:11, market:11, would:11, category:9, going:9, obviously:9"
Gail Boudreaux,1Gail Boudreaux - ELV.txt,2032,126,16.126984126984127,357,0.17568897637795275,"think:23, thank:15, business:11, feel:10, lot:9, good:9, going:9, question:9, next:9, bit:7"
Matt Meloy,Matt Meloy - TRGP.txt,1901,139,13.676258992805755,301,0.15833771699105734,"really:25, think:18, kind:18, good:14, growth:13, going:12, see:10, us:10, last:9, little:8"
James Chriss,James Chriss - PYPL.txt,2333,122,19.12295081967213,392,0.1680240034290613,"able:18, us:17, really:15, experience:13, think:13, merchants:12, innovations:11, new:10, branded:10, see:10"
Michael Mahoney,Michael Mahoney - BSX.txt,1124,81,13.876543209876543,248,0.2206405693950178,"year:7, continue:6, us:6, approval:6, acurate:6, full:5, market:5, really:5, excited:5, growth:4"
Elon Musk,Elon Musk - TSLA.txt,2916,220,13.254545454545454,539,0.18484224965706447,"like:24, think:20, car:14, lot:11, sort:11, much:11, make:9, would:8, want:8, really:8"
Charlie Scharf,Charlie Scharf - WFC.txt,1077,58,18.56896551724138,243,0.22562674094707522,"going:8, really:6, look:6, think:6, go:4, sort:4, would:4, expect:4, point:4, work:4"
Shantanu Narayen,Shantanu Narayen - ADBE.txt,1377,78,17.653846153846153,318,0.23093681917211328,"new:7, think:7, really:6, would:6, creative:6, people:6, year:5, adoption:5, going:5, strong:5"
Jeff Harmening,Jeff Harmening - GIS.txt,3420,184,18.58695652173913,452,0.13216374269005848,"would:26, think:24, going:24, see:20, look:18, good:17, last:17, year:16, really:16, growth:14"
Preston Feight,Preston Feight - PCAR.txt,2462,163,15.104294478527608,420,0.17059301380991065,"think:50, good:19, see:14, really:13, year:9, strong:8, market:8, products:8, truck:8, trucks:8"
